KIM
KYM
GHIM
KHIM
GYM
GEEM
LEE
YI
RHEE
REE
REY
RHIE
PARK
PAK
BARK
PACK
BAK
BAC
CHUNG
JUNG
JOUNG
CHONG
CHEONG
CHOUNG
CHOI
CHE
CHOY
CHEY
TSOI
CHO
JOE
JOH
JOU
KANG
KAHNG
KWANG
KHANG
YOO
YOU
RYU
YOON
YOUN
YUNE
YEUN
CHANG
JAHNG
JHANG
GANG
JEUNG
JANG
ZANG
SHIN
SHINN
SHEEN
CHIN
SEEN
LIM
YIM
RIM
LEEM
RHIM
REEM
RYM
LYM
HAHN
HANN
OH
OE
AU
SUH
SU
SUR
SO
SEU
JUN
CHUN
CHON
JEUN
CHEON
CHEN
JEON
KWON
KWEON
KWUN
GWON
WHANG
HOANG
WHOANG
WHOAN
SOUNG
SUNG
AHN
ANN
AAN
HOUNG
HYONG
RYANG
YAUNG
LYANG
YANG
KO
KOH
GOH
KHO
GHO
KOR
MOON
SOHN
SHON
SOON
SOUN
BAI
BEA
PAE
PAI
BAIK
BACK
BECK
PAIK
PAEK
BEAK
BAEK
HUR
HUH
HER
HU
HO
NOH
ROH
RO
RHO
NHO
NAHM
NHAM
NARM
SHIM
SHEN
SHUM
SEEM
SHEEM
SHIMN
SIHM
JOO
CHU
CHUU
CHOO
ZOO
HAH
HAR
SEUNG
SONG
CHAR
CHA
CHAH
TCHAH
TCHA
CHAA
WOO
WU
OU
WO
UH
RA
NAH
LA
RHA
RAH
JEAN
GIN
MINN
JEE
CHI
GI
CHEE
GEE
JI
JHI
UM
EUM
UHM
AUM
OUM
OHM
BYUN
BYON
PYUN
BYOUN
PYON
WEON
WOEN
WOON
WONE
WUN
ONE
PANG
BHANG
BAHNG
PAHNG
CHAI
TCHAI
CHEA
CHOUN
JHON
JH'ON
JHOUN
JHUN
JHEON
